,% Advanced,% Proficient,% Basic,% Below Basic,Conduct OSS
Cluster1,24.691662621359217,39.497475728155344,23.865509708737864,11.9488349514563,1.4944398725326362
Cluster2,2.4408823529411805,13.672941176470584,31.604999999999997,52.28470588235293,56.811336807233275
Cluster3,13.03512698412697,33.30793650793651,30.993301587301584,22.664746031746027,4.402765739585383
Cluster4,3.669415584415596,18.188961038961047,31.927500000000002,46.21564935064937,14.084733387027939
Cluster5,41.24186274509803,38.28678921568628,14.912990196078418,5.559338235294113,0.4853218004014046
