,School Number,Cluster,County,School
543,4853,1,BUCKS,EDGEWOOD ELEM
528,1396,1,CHESTER,EAST PIKELAND EL SCH
884,270,1,ALLEGHENY,INGOMAR MS
541,7999,1,ALLEGHENY,EDEN HALL UPPER EL SCH
1273,4830,1,MONTGOMERY,MONTGOMERY EL SCH
883,266,1,ALLEGHENY,INGOMAR EL SCH
1281,1690,1,CUMBERLAND,MOORELAND EL SCH
1268,1698,1,CUMBERLAND,MONROE EL SCH
532,5011,1,CHESTER,EAST WARD EL SCH
888,2823,1,LEHIGH,IRONTON SCH
668,8141,1,LEHIGH,FRED J JAINDL ES
781,3459,1,NORTHAMPTON,HANOVER EL SCH
1361,7432,1,BUCKS,NEWTOWN EL SCH
1364,5165,1,WESTMORELAND,NICELY EL SCH
838,5307,1,BUCKS,HOLICONG MS
801,6780,1,ALLEGHENY,HARTWOOD EL SCH
1365,4708,1,LANCASTER,NITRAUER EL SCH
487,4852,1,BUCKS,DOYLE EL SCH
834,1716,1,YORK,HILLSIDE EL SCH
833,6910,1,CHESTER,HILLSDALE EL SCH
1371,6487,1,CHESTER,NORTH COVENTRY EL SCH
1372,1687,1,CUMBERLAND,NORTH DICKINSON EL SCH
1373,6144,1,ERIE,NORTH EAST INTERMEDIATE
804,1878,1,DELAWARE,HAVERFORD MS
832,4938,1,WASHINGTON,HILLS-HENDERSONVILLE
831,7214,1,CHESTER,HILLENDALE
482,147,1,ALLEGHENY,DORSEYVILLE MS
826,3229,1,MONTGOMERY,HIGHLAND SCH
817,6678,1,DAUPHIN,HERSHEY MS
1357,4354,1,WESTMORELAND,NEWLONGSBURG EL SCH
847,251,1,ALLEGHENY,HOOVER EL SCH
1355,7830,1,BUCKS,NEW-HOPE SOLEBURY UPPER EL
1354,6963,1,LAWRENCE,NEW WILMINGTON EL SCH
881,7765,1,DAUPHIN,INFINITY CHARTER SCHOOL
876,6688,1,YORK,INDIAN ROCK EL SCH
516,1395,1,CHESTER,EAST GOSHEN EL SCH
784,2606,1,LANCASTER,HANS HERR EL SCH
1317,4210,1,WASHINGTON,MUSE EL SCH
875,7365,1,DELAWARE,INDIAN LANE EL SCH
509,1392,1,CHESTER,EAST BRADFORD EL SCH
507,763,1,BERKS,EARL EL SCH
527,4964,1,INDIANA,EAST PIKE EL SCH
1328,2621,1,LANCASTER,NEFF EL SCH
544,6108,1,ALLEGHENY,EDGEWORTH EL SCH
501,7823,1,BEAVER,DUTCH RIDGE EL SCH
500,7063,1,BUCKS,DURHAM-NOCKAMIXON EL
859,1333,1,CENTRE,HOWARD EL SCH
857,1357,1,CENTRE,HOUSERVILLE/LEMONT E
1342,1440,1,CHESTER,NEW EAGLE EL SCH
855,6603,1,ALLEGHENY,HOSACK EL SCH
1353,4617,1,YORK,NEW SALEM EL SCH
1335,1905,1,DELAWARE,NETHER PROVIDENCE EL
861,248,1,ALLEGHENY,HOWE EL SCH
954,153,1,ALLEGHENY,KERR EL SCH
774,7998,1,ALLEGHENY,HANCE EL SCH
694,1048,1,BUCKS,GAYMAN EL SCH
1117,1875,1,DELAWARE,MANOA EL SCH
1122,7652,1,MONTGOMERY,MAPLE GLEN EL
696,6907,1,MONTGOMERY,GENERAL NASH EL SCH
698,3018,1,LYCOMING,GEORGE A FERRELL EL
628,4672,1,LEHIGH,FOGELSVILLE SCH
1139,247,1,ALLEGHENY,MARKHAM EL SCH
1141,6479,1,CHESTER,MARKLEY EL SCH
1143,1155,1,BUTLER,MARS AREA  ELEMENTARY  SCH
690,7486,1,DELAWARE,GARNET VALLEY EL
624,3385,1,MONTGOMERY,FITZWATER EL SCH
1006,7442,1,LANCASTER,LANDISVILLE PRIMARY CTR
707,754,1,BERKS,GILBERTSVILLE EL SCH
619,4207,1,WASHINGTON,FIRST STREET EL SCH
708,516,1,ALLEGHENY,GILL HALL EL SCH
710,7664,1,PHILADELPHIA,GIRARD ACAD MUSIC PROG
1149,7379,1,ALLEGHENY,MARSHALL MS
612,1454,1,CHESTER,FERN HILL EL SCH
712,3291,1,MONTGOMERY,GLADWYNE SCH
610,1350,1,CENTRE,FERGUSON TWP EL SCH
1146,8309,1,CHESTER,MARSH CREEK 6TH GRADE CENTER
1158,1457,1,CHESTER,MARY C HOWSE EL SCH
1033,1041,1,BUCKS,LENAPE MS
1038,6186,1,WESTMORELAND,LEVEL GREEN EL SCH
1062,8157,1,LEBANON,LINGLE AVENUE EL SCH
1065,4081,1,UNION,LINNTOWN EL SCH
1068,6476,1,CHESTER,LIONVILLE EL SCH
660,3339,1,MONTGOMERY,FRANKLIN EL SCH
1077,4547,1,YORK,LOGANVILLE-SPRINGFIELD ELEM
1083,7836,1,BUCKS,LOUIS F PFAFF ELEM SCHOOL
656,3266,1,MONTGOMERY,FRANCONIA EL SCH
1049,3358,1,MONTGOMERY,LIMERICK EL SCH
1086,7491,1,MONTGOMERY,LOWER GWYNEDD EL SCH
1102,3042,1,LYCOMING,LYTER EL
1088,8074,1,LEHIGH,LOWER MILFORD EL SCH
651,1991,1,ELK,FOX TWP EL SCH
679,7197,1,CHESTER,FRENCH CREEK EL SCH
1098,1530,1,CLEARFIELD,LUTHERSBURG EL SCH
646,249,1,ALLEGHENY,FOSTER EL SCH
645,5251,1,MONTGOMERY,FORT WASHINGTON EL SCH
1101,1874,1,DELAWARE,LYNNEWOOD EL SCH
1042,8073,1,LEHIGH,LIBERTY BELL EL SCH
643,491,1,ALLEGHENY,FORT COUCH MS
685,2563,1,LANCASTER,FULTON ELEM SCH
1093,3044,1,LYCOMING,LOYALSOCK VALLEY EL
1159,5101,1,ALLEGHENY,MARZOLF PRIMARY SCH
713,4812,1,CHESTER,GLEN ACRES EL SCH
1161,7574,1,PHILADELPHIA,MAST COMMUNITY CS
1211,5361,1,WESTMORELAND,MELLON EL SCH
753,7653,1,BUCKS,GROVELAND ELEMENTARY SCHOOL
1221,3287,1,MONTGOMERY,MERION EL SCH
919,3276,1,MONTGOMERY,JENKINTOWN EL SCH
1229,1791,1,DAUPHIN,MIDDLE PAXTON EL SCH
918,457,1,ALLEGHENY,JEFFERY PRIMARY SCH
758,7314,1,MONTGOMERY,GWYNEDD SQUARE EL SCH
912,3382,1,MONTGOMERY,JARRETTOWN EL SCH
761,8101,1,WESTMORELAND,HAHNTOWN ELEM SCHOOL
1208,6514,1,DELAWARE,MEDIA EL SCH
762,4907,1,BUTLER,HAINE EL SCH
898,8347,1,ALLEGHENY,J.A. ALLARD INTERMEDIATE SCH
897,229,1,ALLEGHENY,J W BURKETT EL SCH
895,5137,1,CHESTER,J R FUGETT MS
893,6510,1,DELAWARE,ITHAN ELEMENTARY
772,5020,1,CUMBERLAND,HAMPDEN EL SCH
549,8335,1,WARREN,EISENHOWER EL SCH
1247,2558,1,LANCASTER,MILL ROAD EL SCH
773,179,1,ALLEGHENY,HAMPTON MS
