,School Number,Cluster,County,School
1248,5226,1,ERIE,MILL VILLAGE EL SCH
911,7520,1,BUCKS,JAMISON EL SCH
936,3019,1,LYCOMING,JOSEPH C ASHKAR EL SCH
1203,7393,1,WASHINGTON,MCMURRAY EL SCH
953,6801,1,LEHIGH,KERNSVILLE SCH
1162,3808,1,PHILADELPHIA,MASTERMAN JULIA R SCH
603,4601,1,YORK,FAWN EL SCH
718,1940,1,DELAWARE,GLENWOOD EL SCH
722,4849,1,CUMBERLAND,GOOD HOPE MS
724,1086,1,BUCKS,GOODNOE EL SCH
591,4588,1,YORK,FAIRVIEW EL SCH
982,1047,1,BUCKS,KUTZ EL SCH
978,2827,1,LEHIGH,KRATZER SCH
970,7190,1,WESTMORELAND,KISKI AREA NORTH PRIMARY
586,1456,1,CHESTER,EXTON EL SCH
1178,4394,1,WESTMORELAND,MAXWELL EL SCH
733,1055,1,BUCKS,GRASSE SCHOOL
734,7735,1,CENTRE,GRAYS WOOD EL
735,1422,1,CHESTER,GREAT VALLEY MS
739,1700,1,CUMBERLAND,GREEN RIDGE EL SCH
583,8173,1,WAYNE,EVERGREEN EL SCH
740,8234,1,BERKS,GREEN VALLEY EL SCH
1190,7952,1,ALLEGHENY,MCCORMICK ELEM SCH
1191,4490,1,WESTMORELAND,MCCULLOUGH EL SCH
1195,8052,1,ALLEGHENY,MCINTYRE EL SCH
1201,268,1,ALLEGHENY,MCKNIGHT EL SCH
1249,7654,1,BUCKS,MILLCREEK ELEMENTARY SCHOOL
1527,4256,1,WASHINGTON,PETERS TWP MS
813,7128,1,BUCKS,HERBERT HOOVER ES
476,7760,1,ALLEGHENY,DONALDSON ELEM SCHOOL
216,4696,1,ALLEGHENY,BURCHFIELD PRIMARY SCH
212,7670,1,BUCKS,BUCKS CO MONTESSORI CS
211,1044,1,BUCKS,BUCKINGHAM EL SCH
210,6733,1,LANCASTER,BUCHER EL SCH
1877,7436,1,BERKS,SPRING RIDGE EL SCH
1879,7817,1,MONTGOMERY,SPRING-FORD MS 7TH GRADE CTR
1880,7818,1,MONTGOMERY,SPRING-FORD MS 8TH GRADE CTR
1885,7603,1,LEHIGH,SPRINGHOUSE MIDDLE SCHOOL
1886,6625,1,DELAWARE,SPRINGTON LAKE MS
1887,7990,1,CHESTER,SPRINGTON MANOR EL SCH
200,7321,1,MONTGOMERY,BROOKE EL SCH
193,7796,1,BUCKS,BRIDGE VALLEY EL SCH
187,2619,1,LANCASTER,BRECHT  EL SCH
186,1431,1,CHESTER,BRANDYWINE-WALLACE E
1905,1451,1,CHESTER,STETSON MS
182,263,1,ALLEGHENY,BRADFORD WOODS EL SCH
181,7266,1,CHESTER,BRADFORD HGTS EL SCH
176,5196,1,ALLEGHENY,BOYCE MS
175,7594,1,WASHINGTON,BOWER HILL EL SCH
174,4211,1,WASHINGTON,BORLAND MANOR EL SCH
1917,3414,1,MONTGOMERY,STONY CREEK EL SCH
1918,1908,1,DELAWARE,STRATH HAVEN MS
1920,4859,1,ALLEGHENY,STREAMS EL SCH
1927,1461,1,CHESTER,SUGARTOWN ELEM SCHOOL
1934,6187,1,WESTMORELAND,SUNRISE EL SCH
164,6470,1,MONTGOMERY,BLUE BELL EL SCH
1935,7716,1,WESTMORELAND,SUNSET VALLEY ELEM SCHOOL
1857,8075,1,LEHIGH,SOUTHERN LEHIGH INTRMD SCH
1941,1952,1,DELAWARE,SWARTHMORE-RUTLEDGE
223,1081,1,BUCKS,BUTLER EL SCH
1838,1797,1,DAUPHIN,SOUTH HANOVER EL SCH
1717,6818,1,SOMERSET,SALISBURY-ELK LICK EL
289,1441,1,CHESTER,CHADDS FORD EL SCH
288,2824,1,LEHIGH,CETRONIA SCH
1726,7324,1,CHESTER,SARAH W STARKWEATHER
1731,6519,1,DELAWARE,SCENIC HILLS EL SCH
1732,2620,1,LANCASTER,SCHAEFFER  EL SCH
1738,4841,1,CHESTER,SCHUYLKILL EL SCH
275,7201,1,COLUMBIA,CENTRAL COLUMBIA EL
1756,1052,1,BUCKS,SEYLAR SCHOOL
1759,6835,1,MONTGOMERY,SHADY GROVE EL SCH
272,5236,1,LANCASTER,CENTERVILLE EL SCH
1768,7265,1,CHESTER,SHAMONA CREEK EL SCH
266,4205,1,WASHINGTON,CECIL EL SCH
1777,1696,1,CUMBERLAND,SHAULL EL SCH
1790,8233,1,BERKS,SHILOH HILLS EL SCH
1795,3866,1,PIKE,SHOHOLA EL SCH
1798,1699,1,CUMBERLAND,SILVER SPRING EL SCH
1799,3270,1,MONTGOMERY,SIMMONS EL SCH
1802,7554,1,MONTGOMERY,SKIPPACK ELEM
1808,4357,1,WESTMORELAND,SLOAN EL SCH
245,3389,1,MONTGOMERY,CANDLEBROOK EL SCH
1817,1130,1,BUCKS,SOL FEINSTONE EL SCH
1822,7638,1,MONTGOMERY,SOUDERTON COLLABORATIVE CS
1831,4937,1,WASHINGTON,SOUTH CENTRAL EL
1834,3327,1,MONTGOMERY,SOUTH ELEMENTARY SCHOOL
1835,8263,1,ALLEGHENY,SOUTH FAYETTE INTERMEDIATE SCH
1836,7490,1,ALLEGHENY,SOUTH FAYETTE MS
1386,3325,1,MONTGOMERY,NORTH WALES EL SCH
1963,7535,1,ALLEGHENY,THOMAS JEFFERSON MS
1970,6456,1,BUCKS,TINICUM EL SCH
1972,1131,1,BUCKS,TITUS EL SCH
2092,2402,1,LACKAWANNA,WAVERLY SCH
2093,6512,1,DELAWARE,WAYNE ELEM
2103,2819,1,LEHIGH,WEISENBERG EL SCH
2106,3294,1,MONTGOMERY,WELSH VALLEY MS
68,7433,1,MONTGOMERY,AUDUBON EL SCH
2110,6477,1,CHESTER,WEST BRADFORD EL SCH
65,2053,1,ERIE,ASBURY EL SCH
58,6845,1,MONTGOMERY,ARROWHEAD EL SCH
2137,4400,1,WESTMORELAND,WEST POINT EL SCH
2139,7260,1,BUCKS,WEST ROCKHILL SCHOOL
2145,7994,1,CHESTER,WEST VINCENT EL SCH
2155,1458,1,CHESTER,WESTTOWN-THORNBURY E
2157,7996,1,ALLEGHENY,WEXFORD EL SCH
42,7534,1,ALLEGHENY,ANDREW W. MELLON MS
2163,3411,1,MONTGOMERY,WHITEMARSH EL SCH
2174,3520,1,NORTHAMPTON,WILLIAMS TOWNSHIP EL
2186,7053,1,NORTHAMPTON,WILSON BOROUGH EL
2197,3245,1,MONTGOMERY,WISSAHICKON MS
2207,7573,1,MONTGOMERY,WORCESTER ELEM SCH
2209,1896,1,DELAWARE,WORRALL EL SCH
13,7519,1,BUCKS,AFTON EL SCH
2211,1133,1,BUCKS,WRIGHTSTOWN EL SCH
2215,7596,1,LUZERNE,WYCALLIS ELEM
2216,176,1,ALLEGHENY,WYLAND EL SCH
2222,886,1,BERKS,WYOMISSING HILLS EL CTR
2225,3278,1,MONTGOMERY,YORK AVENUE EL SCH
2227,4657,1,YORK,YORK SUBURBAN MS
78,34,1,ALLEGHENY,AVONWORTH EL SCH
2079,1132,1,BUCKS,WARWICK EL SCH
83,4379,1,WESTMORELAND,BAGGALEY EL SCH
2073,7407,1,MONTGOMERY,WALTON FARM EL SCH
143,7714,1,DELAWARE,BETHEL SPRINGS EL
1977,7715,1,BUCKS,TOHICKON MS
1985,1421,1,CHESTER,TREDYFFRIN-EASTTOWN
1990,4276,1,WASHINGTON,TRINITY EAST EL SCH
1994,7388,1,WASHINGTON,TRINITY WEST EL SCH
1997,7630,1,BUCKS,TRUMBAUERSVILLE EL SCH
2000,3572,1,NORTHUMBERLAND,TURBOTVILLE EL SCH
131,1339,1,CENTRE,BENNER EL SCH
129,7326,1,ALLEGHENY,BENJAMIN FRANKLIN EL
125,2314,1,INDIANA,BEN FRANKLIN EL SCH
124,7597,1,MONTGOMERY,BELMONT HILLS ELEM SCH
2014,4678,1,BUCKS,UNAMI MS
2022,1442,1,CHESTER,UNIONVILLE EL SCH
1714,8282,1,MONTGOMERY,SALFORD HILLS EL SCH
114,8077,1,JEFFERSON,BELL TWP EL SCH
2040,7763,1,MONTGOMERY,UPPER PROVIDENCE ELEM SCHOOL
107,1610,1,COLUMBIA,BEAVER-MAIN EL SCH
105,1391,1,CHESTER,BEAVER CREEK EL SCH
103,4690,1,CHESTER,BEAUMONT EL SCH
2044,6621,1,CHESTER,UWCHLAN HILLS EL SCH
2047,1438,1,CHESTER,VALLEY FORGE EL SCH
97,2656,1,LANCASTER,BART-COLERAIN EL SCH
2048,4689,1,CHESTER,VALLEY FORGE MS
2054,7752,1,MONTGOMERY,VERNFIELD ELEM SCHOOL
2057,7198,1,CHESTER,VINCENT EL SCH
2067,1906,1,DELAWARE,WALLINGFORD EL SCH
86,3293,1,MONTGOMERY,BALA-CYNWYD MS
85,891,1,BLAIR,BAKER EL SCH
110,1053,1,BUCKS,BEDMINSTER SCHOOL
1709,6518,1,DELAWARE,SABOLD EL SCH
230,4832,1,MONTGOMERY,CALEY EL SCH
1708,3226,1,MONTGOMERY,RYDAL SCH
1574,178,1,ALLEGHENY,POFF EL SCH
424,3286,1,MONTGOMERY,CYNWYD SCH
1487,7706,1,PHILADELPHIA,PENN ALEXANDER SCHOOL
360,7143,1,MONTGOMERY,COLONIAL EL SCH
427,2868,1,LUZERNE,DALLAS EL SCH
1484,269,1,ALLEGHENY,PEEBLES EL SCH
431,4546,1,YORK,DALLASTOWN EL SCH
1483,5154,1,BUCKS,PEARL S. BUCK ES
371,3977,1,SOMERSET,CONEMAUGH TWP AREA EL SCH
1609,1102,1,BUCKS,QUARRY HILL EL
1476,2826,1,LEHIGH,PARKWAY MANOR SCH
1612,7697,1,DELAWARE,RADNOR EL SCH
1613,6511,1,DELAWARE,RADNOR MS
1621,7332,1,YORK,RED MILL EL SCH
1626,7383,1,LANCASTER,REIDENBAUGH EL SCH
1456,1106,1,BUCKS,OXFORD VALLEY EL SCH
449,1054,1,BUCKS,DEIBLER SCHOOL
1448,6239,1,CLEARFIELD,OSCEOLA MILLS EL SCH
1611,1359,1,CENTRE,RADIO PARK EL SCH
1636,2559,1,LANCASTER,RHEEMS EL SCH
1573,7736,1,CHESTER,POCOPSON EL SCH
375,2516,1,LANCASTER,CONESTOGA EL SCH
816,7186,1,DAUPHIN,HERSHEY INTRMD ELEM SCH
401,6302,1,LEBANON,CORNWALL EL SCH
398,1354,1,CENTRE,CORL STREET EL SCH
396,1877,1,DELAWARE,COOPERTOWN EL SCH
392,3261,1,MONTGOMERY,CONSHOHOCKEN EL SCH
1540,1432,1,CHESTER,PICKERING VALLEY EL
1544,3297,1,MONTGOMERY,PINE ROAD EL SCH
296,6719,1,CHESTER,CHARLES F PATTON MS
1570,4711,1,MONTGOMERY,PLYMOUTH EL SCH
1545,5306,1,BUCKS,PINE RUN EL SCH
387,1150,1,BUTLER,CONNOQUENESSING EL SCH
1546,2764,1,LEBANON,PINE STREET EL SCH
1504,3322,1,MONTGOMERY,PENNBROOK MS
1498,3289,1,MONTGOMERY,PENN WYNNE SCH
419,1898,1,DELAWARE,CULBERTSON EL SCH
1496,4813,1,CHESTER,PENN WOOD EL SCH
1495,3288,1,MONTGOMERY,PENN VALLEY SCH
1560,7193,1,ALLEGHENY,PIVIK EL SCH
388,1178,1,BUTLER,CONNOQUENESSING VALL
1447,6852,1,ALLEGHENY,OSBORNE EL SCH
354,7435,1,BUCKS,COLD SPRING EL SCH
1683,2575,1,LANCASTER,ROHRERSTOWN EL SCH
316,1876,1,DELAWARE,CHESTNUTWOLD ELEM SCH
1673,868,1,BERKS,ROBESON EL CTR
1671,3391,1,MONTGOMERY,ROBERTS EL SCH
1697,1179,1,BUTLER,ROWAN EL SCH
306,1871,1,DELAWARE,CHATHAM PARK EL SCH
1690,1937,1,DELAWARE,ROSE TREE EL SCH
1434,461,1,ALLEGHENY,OHARA EL SCH
1651,3332,1,MONTGOMERY,RIDGE PARK EL SCH
475,4665,1,UNION,DONALD H EICHHORN MIDDLE SCHOOL
302,1368,1,CHESTER,CHARLESTOWN EL SCH
1646,1121,1,BUCKS,RICHLAND EL SCH
1441,4948,1,BUCKS,OLIVER HECKMAN ES
1429,7307,1,MERCER,OAKVIEW EL SCH
1444,4551,1,YORK,ORE VALLEY EL SCH
337,2568,1,LANCASTER,CLAY EL SCH
1428,4809,1,MONTGOMERY,OAKS EL SCH
1706,1894,1,DELAWARE,RUSSELL EL SCH
1686,5227,1,ERIE,ROLLING RIDGE EL SCH
459,1434,1,CHESTER,DEVON EL SCH
1426,7262,1,MONTGOMERY,OAK RIDGE EL SCH
1641,5341,1,LUZERNE,RICE EL SCH
1682,458,1,ALLEGHENY,ROGERS PRIMARY SCH
