,School Number,Cluster,County,School
1961,3766,0,PHILADELPHIA,THOMAS HOLME SCHOOL
2206,7502,0,ALLEGHENY,WOOLSLAIR ELEM SCHL
99,1021,0,BUCKS,BARTON EL SCH
1980,7862,0,BRADFORD,TOWANDA AREA EL SCH
128,8047,0,FRANKLIN,BENJAMIN CHAMBERS EL SCH
2005,2400,0,JUNIATA,TUSCARORA VALLEY EL
126,2182,0,FAYETTE,BEN FRANKLIN SCH
780,7007,0,LUZERNE,HANOVER AREA MEMORIA
46,8031,0,PHILADELPHIA,ANTONIA PANTOJA COMMUNITY CS
45,820,0,BERKS,ANTIETAM MIDDLE/SENIOR HS
2043,8194,0,ALLEGHENY,URBAN PATHWAYS K-5 COLLEGE CS
955,7228,0,PHILADELPHIA,KEY FRANCIS SCOTT SCH
2156,7877,0,ALLEGHENY,WESTWOOD EL SCH
2041,7563,0,ALLEGHENY,URBAN ACADEMY OF GREATER PITTS
779,2891,0,LUZERNE,HANOVER AREA JSHS
940,7963,0,PHILADELPHIA,JUNIATA PARK ACADEMY
106,648,0,BEAVER,BEAVER FALLS MS
738,7610,0,LUZERNE,GREATER NANTICOKE AREA ED CTR
2159,2600,0,LANCASTER,WHEATLAND MS
2142,1250,0,CAMBRIA,WEST SIDE EL SCH
39,6823,0,PHILADELPHIA,AMY AT MARTIN
965,7776,0,PHILADELPHIA,KIPP PHILADELPHIA CHARTER SCHO
966,8124,0,PHILADELPHIA,KIPP WEST PHILADELPHIA PREP CS
113,7385,0,DELAWARE,BELL AVENUE SCHOOL
720,7768,0,LUZERNE,GNA ELEM CTR
988,2399,0,JUNIATA,LACK-TUSCARORA EL SCH
930,4736,0,LACKAWANNA,JOHN F. KENNEDY NO 7
2008,8271,0,ALLEGHENY,TWIN RIVERS INTRMD SCH
987,6825,0,PHILADELPHIA,LA BRUM GEN J HARRY
34,840,0,BERKS,AMANDA E STOUT EL SCH
1960,832,0,BERKS,THIRTEENTH & UNION E
2021,2785,0,LEHIGH,UNION TERRACE EL SCH
725,5080,0,MONTGOMERY,GOTWALS EL SCH
931,4858,0,LACKAWANNA,JOHN G WHITTIER NO 2
2168,8090,0,ALLEGHENY,WILKINS EL SCH
2027,8251,0,PHILADELPHIA,UNIVERSAL CREIGHTON CHARTER SCH
2052,8294,0,PHILADELPHIA,VARE-WASHINGTON EL SCH
95,193,0,ALLEGHENY,BARRETT EL SCH
35,633,0,BEAVER,AMBRIDGE AREA JHS
1959,5027,0,BERKS,THIRTEENTH & GREEN E
2133,7548,0,PHILADELPHIA,WEST OAK LANE CS
20,6509,0,DELAWARE,ALDAN SCH
59,7889,0,ALLEGHENY,ARSENAL EL SCHOOL
60,7886,0,ALLEGHENY,ARSENAL MS
770,2592,0,LANCASTER,HAMILTON EL SCH
681,4922,0,FAYETTE,FRIENDSHIP HILL EL SCH
1908,3320,0,MONTGOMERY,STEWART MS
1043,4917,0,CLINTON,LIBERTY CURTIN EL SCH
2122,7569,0,LUZERNE,WEST HAZLETON EL/MS
1906,7061,0,LYCOMING,STEVENS EL SCH
678,7586,0,PHILADELPHIA,FREIRE CS
1904,1829,0,DELAWARE,STETSER EL SCH
11,7256,0,PHILADELPHIA,ADAIRE ALEXANDER SCH
1045,4064,0,TIOGA,LIBERTY JSHS
10,7825,0,PHILADELPHIA,AD PRIMA CS
676,3458,0,NORTHAMPTON,FREEMANSBURG EL SCH
1903,7039,0,ALLEGHENY,STERRETT CLASSICAL ACADEMY
1902,8303,0,DELAWARE,STEM AT SHOWALTER
2120,7496,0,GREENE,WEST GREENE MS
892,2481,0,LACKAWANNA,ISAAC TRIPP EL SCH
1055,2595,0,LANCASTER,LINCOLN MS
2114,4939,0,FAYETTE,WEST CRAWFORD EL SCHOOL
196,7743,0,BUCKS,BRISTOL MS
1054,8125,0,LEHIGH,LINCOLN LEADERSHIP ACAD CS
1899,260,0,ALLEGHENY,STEEL VALLEY MS
21,8085,0,BEAVER,ALIQUIPPA EL SCH
1050,7675,0,YORK,LINCOLN CHARTER SCHOOL
808,6930,0,LUZERNE,HEIGHTS TERRACE EL/MIDDLE
827,7202,0,ALLEGHENY,HIGHLANDS MS
63,8336,0,LEHIGH,ARTS ACADEMY ELEMENTARY CHARTE
192,3745,0,PHILADELPHIA,BRIDESBURG SCH
2220,6986,0,LUZERNE,WYOMING VALLEY WEST MS
675,6718,0,LUZERNE,FREELAND EL/MS
2230,7584,0,PHILADELPHIA,YOUNG SCHOLARS CS
899,3642,0,PHILADELPHIA,JACKSON ANDREW SCH
1895,8243,0,LUZERNE,STATE EL CTR
1040,7789,0,MIFFLIN,LEWISTOWN EL SCH
1019,2754,0,LEBANON,LEBANON MS
1947,7551,0,DAUPHIN,SYLVAN HEIGHTS SCIENCE CS
1942,1742,0,DAUPHIN,SWATARA MS
56,5305,0,BUCKS,ARMSTRONG MS
1020,2888,0,LUZERNE,LEE PARK EL SCH
760,5120,0,PHILADELPHIA,HACKETT HORATIO B SCH
765,6331,0,DAUPHIN,HALIFAX AREA MS
849,8154,0,BEDFORD,HOPE FOR HYNDMAN CS
17,7608,0,FAYETTE,ALBERT GALLATIN SOUTH MS
702,2589,0,LANCASTER,GEORGE WASHINGTON EL
1021,7923,0,ARMSTRONG,LEECHBURG AREA JSHS
701,2129,0,FAYETTE,GEORGE J PLAVA EL SCH
1933,7884,0,ALLEGHENY,SUNNYSIDE EL SCH
1025,2775,0,LEHIGH,LEHIGH PARKWAY EL SCH
2083,7164,0,LAWRENCE,WASHINGTON INTRMD EL
1925,7635,0,CLINTON,SUGAR VALLEY RURAL CS
170,7400,0,SUSQUEHANNA,BLUE RIDGE MS
1027,8130,0,NORTHAMPTON,LEHIGH VALLEY DUAL LANGUAGE CS
153,6828,0,CAMBRIA,BLACKLICK VALLEY EL
1034,5265,0,SCHUYLKILL,LENGEL MS
16,7607,0,FAYETTE,ALBERT GALLATIN NORTH MS
2125,3171,0,MERCER,WEST HILL EL SCH
2086,6912,0,WASHINGTON,WASHINGTON PARK MS
684,2581,0,LANCASTER,FULTON EL SCH
154,5135,0,CAMBRIA,BLACKLICK VALLEY JSH
699,2476,0,LACKAWANNA,GEORGE BANCROFT NO 34
