,School Number,Cluster,County,School
144,6975,3,WASHINGTON,BETHLEHEM-CENTER EL
498,8312,3,LACKAWANNA,DUNMORE JSHS
1971,4847,3,DELAWARE,TINICUM SCH
1352,6898,3,ADAMS,NEW OXFORD MS
2006,8144,3,BEDFORD,TUSSEY MOUNTAIN JHS
497,6591,3,LACKAWANNA,DUNMORE EL CTR
496,5048,3,FAYETTE,DUNBAR TWP EL SCH
1294,8135,3,NORTHUMBERLAND,MOUNT CARMEL AREA JHS
518,2561,3,LANCASTER,EAST HIGH STREET EL
1356,4585,3,YORK,NEWBERRY EL SCH
1987,5320,3,DAUPHIN,TRI COMMUNITY EL SCH
1326,1650,3,CRAWFORD,NEASON HILL EL SCH
1999,4536,3,WYOMING,TUNKHANNOCK MS
1306,7199,3,BLAIR,MOWRIE A EBNER EL SCH
133,1595,3,COLUMBIA,BENTON MIDDLE-SR HIGH SCHOOL
1998,4670,3,BERKS,TULPEHOCKEN JSHS
1311,2780,3,LEHIGH,MUHLENBERG EL SCH
1312,4919,3,BERKS,MUHLENBERG ELEM CTR
2001,6215,3,SOMERSET,TURKEYFOOT VALLEY AR EL
1302,4049,3,SUSQUEHANNA,MOUNTAIN VIEW JSHS
515,6159,3,FOREST,EAST FOREST JSHS
1314,3048,3,LYCOMING,MUNCY JSHS
1996,8192,3,BRADFORD,TROY INTRMD SCH
513,1374,3,CHESTER,EAST FALLOWFIELD EL
135,7988,3,WASHINGTON,BENTWORTH MS
2004,7220,3,JUNIATA,TUSCARORA MS
1322,7924,3,CUMBERLAND,NANCY GRAYSON ELEM SCHOOL
511,6261,3,MIFFLIN,EAST DERRY EL SCH
1991,6638,3,WASHINGTON,TRINITY MS
1988,3957,3,SCHUYLKILL,TRI-VALLEY JSHS
1358,5260,3,PERRY,NEWPORT EL SCH
1359,7931,3,PERRY,NEWPORT MS
1293,7498,3,NORTHUMBERLAND,MOUNT CARMEL AREA EL
1382,1781,3,DAUPHIN,NORTH SIDE EL SCH
155,6344,3,PERRY,BLAIN EL SCH
1384,7259,3,SOMERSET,NORTH STAR EAST EL/M
479,7165,3,LANCASTER,DONEGAL JHS
1387,5258,3,NORTHAMPTON,NORTHAMPTON AREA MIDDLE SCHOOL
1390,964,3,BRADFORD,NORTHEAST BRADFORD J
478,8228,3,LANCASTER,DONEGAL INTERMEDIATE SCHOOL
1393,4578,3,YORK,NORTHEASTERN MS
1952,7031,3,SCHUYLKILL,TAMAQUA EL SCH
522,3265,3,MONTGOMERY,EAST NORRITON MS
1395,747,3,BEDFORD,NORTHERN BEDFORD CO M/S HS
524,5220,3,CUMBERLAND,EAST PENNSBORO AREA MS
1396,6859,3,CAMBRIA,NORTHERN CAMBRIA EL SCH
1307,1686,3,CUMBERLAND,MT HOLLY SPRINGS EL
472,7301,3,NORTHAMPTON,DOMENICK DEFRANCO EL
159,2317,3,INDIANA,BLAIRSVILLE MS
1401,6346,3,YORK,NORTHERN MS
1958,2918,3,LUZERNE,THIRD AVENUE EL SCH
1380,7950,3,SCHUYLKILL,NORTH SCHUYKILL ELEM SCHOOL
151,7272,3,BERKS,BIRDSBORO EL CTR
150,7938,3,ADAMS,BIGLERVILLE ELEM SCHOOL
492,1541,3,CLEARFIELD,DUBOIS AREA MS
148,650,3,BEAVER,BIG BEAVER EL SCH
491,7661,3,LUZERNE,DRUMS ELEM/MIDDLE SCHOOL
520,2394,3,JUNIATA,EAST JUNIATA JSHS
1967,7833,3,WARREN,TIDIOUTE COMMUNITY CS
1366,3463,3,NORTHAMPTON,NITSCHMANN MS
1367,7566,3,CENTRE,NITTANY VALLEY CS
1291,169,3,ALLEGHENY,MOSS SIDE MS
2010,7328,3,BERKS,TWIN VALLEY MS
423,1529,3,CLEARFIELD,CURWENSVILLE AREA JSHS
1369,5139,3,CLARION,NORTH CLARION CO EL
1965,2590,3,LANCASTER,THOMAS WHARTON EL SCH
1289,6929,3,CLEARFIELD,MOSHANNON VALLEY EL
484,6283,3,YORK,DOVER AREA INTRMD SCH
1964,1802,3,DAUPHIN,THOMAS W. HOLTZMAN JR. EL. SCH
149,6326,3,CUMBERLAND,BIG SPRING MS
1375,4540,3,YORK,NORTH HILLS EL SCH
1962,6633,3,NORTHAMPTON,THOMAS JEFFERSON EL
1765,7009,3,NORTHUMBERLAND,SHAMOKIN AREA EL SCH
1896,632,3,BEAVER,STATE STREET EL SCH
1290,1550,3,CLEARFIELD,MOSHANNON VALLEY JSH
421,3073,3,LYCOMING,CURTIN MS
1667,4952,3,LACKAWANNA,ROBERT MORRIS NO 27
1668,7756,3,DAUPHIN,ROBERT REID ELEM SCHOOL
323,7575,3,PHILADELPHIA,CHRISTOPHER COLUMBUS CS
322,5354,3,SUSQUEHANNA,CHOCONUT VALLEY EL SCH
1815,6451,3,BUCKS,SNYDER MS
1814,6713,3,BRADFORD,SNYDER EL SCH
319,7741,3,NORTHUMBERLAND,CHIEF SHIKELLAMY SCH
1675,7333,3,BEAVER,ROCHESTER AREA EL SCH
318,1153,3,BUTLER,CHICORA EL SCH
1816,1013,3,BUCKS,SNYDER-GIROTTI EL SCH
1677,4079,3,TIOGA,ROCK L BUTLER MS
1680,6210,3,SOMERSET,ROCKWOOD AREA JSHS
315,732,3,BEDFORD,CHESTNUT RIDGE SHS
314,729,3,BEDFORD,CHESTNUT RIDGE MS
1811,2657,3,LANCASTER,SMITH MS
1684,12,3,ADAMS,ROLLING ACRES EL SCH
1809,3116,3,MCKEAN,SMETHPORT AREA EL SCH
1688,2782,3,LEHIGH,ROOSEVELT EL SCH
1807,6647,3,BUTLER,SLIPPERY ROCK AREA M
1805,5034,3,CLARION,SLIGO EL SCH
1678,2309,3,HUNTINGDON,ROCKHILL EL SCH
1665,6245,3,CLINTON,ROBB EL SCH
1664,6928,3,ALLEGHENY,RIVERVIEW HS
1663,6748,3,LACKAWANNA,RIVERSIDE WEST EL SCH
1633,3165,3,MERCER,REYNOLDS JSHS
342,8315,3,CLEARFIELD,CLEARFIELD AREA EL SCH
340,4248,3,WASHINGTON,CLAYSVILLE EL SCH
338,7374,3,BLAIR,CLAYSBURG-KIMMEL EL
1832,6832,3,YORK,SOUTH EASTERN INTRMD SCH
236,6646,3,CAMBRIA,CAMBRIA EL SCH
334,6371,3,TIOGA,CLARK WOOD EL SCH
238,1199,3,CAMBRIA,CAMBRIA HEIGHTS MS
239,1630,3,CRAWFORD,CAMBRIDGE SPRINGS EL
1824,7751,3,ALLEGHENY,SOUTH ALLEGHENY ELEM SCHOOL
1648,7941,3,CAMBRIA,RICHLAND JR/SR HIGH SCHOOL
1649,860,3,BERKS,RICHMOND EL SCH
240,1629,3,CRAWFORD,CAMBRIDGE SPRINGS HS
330,1475,3,CLARION,CLARION AREA JSHS
1821,8274,3,SOMERSET,SOMERSET AREA JR-SR HS
1653,7218,3,DELAWARE,RIDLEY MS
1654,5033,3,CLARION,RIMERSBURG EL SCH
1656,8197,3,WASHINGTON,RINGGOLD EL SCH SOUTH
1819,7492,3,LUZERNE,SOLOMON/PLAINS EL SCH
1658,2781,3,LEHIGH,RITTER EL SCH
1659,5093,3,LACKAWANNA,RIVERSIDE EAST EL SCH
1804,6727,3,LEHIGH,SLATINGTON EL SCH
248,988,3,BRADFORD,CANTON JSHS
251,3021,3,LYCOMING,CARL G RENN EL SCH
305,4235,3,WASHINGTON,CHARTIERS-HOUSTON JS
1783,2708,3,LAWRENCE,SHENANGO AREA JSHS
1736,7281,3,MCKEAN,SCHOOL STREET EL SCH
282,7590,3,CLINTON,CENTRAL MOUNTAIN MS
1739,5264,3,SCHUYLKILL,SCHUYLKILL HAVEN  HS
1781,3938,3,SCHUYLKILL,SHENANDOAH VALLEY EL
1741,3935,3,SCHUYLKILL,SCHUYLKILL HAVEN MS
1780,4146,3,WARREN,SHEFFIELD MS/HS
1779,8290,3,WARREN,SHEFFIELD AREA EL SCH
263,2797,3,LEHIGH,CATASAUQUA MS
280,7141,3,LANCASTER,CENTRAL MANOR EL SCH
279,4667,3,VENANGO,CENTRAL EL SCH
278,7820,3,DAUPHIN,CENTRAL DAUPHIN MS
1750,6817,3,SNYDER,SELINSGROVE AREA MS
268,6301,3,LEBANON,CEDAR CREST MS
269,5250,3,MONTGOMERY,CEDARBROOK MS
1755,8235,3,VENANGO,SEVENTH STREET SCH
1757,2310,3,HUNTINGDON,SHADE GAP EL SCH
1758,4006,3,SOMERSET,SHADE JSHS
1770,7398,3,SOMERSET,SHANKSVILLE-STNYCRK MS
1761,7030,3,BUCKS,SHAFER MS
1763,8002,3,ALLEGHENY,SHALER AREA MS
284,8043,3,BEAVER,CENTRAL VALLEY MS
1833,7699,3,YORK,SOUTH EASTERN MIDDLE SCHOOL
285,4544,3,YORK,CENTRAL YORK MS
1729,752,3,BEDFORD,SAXTON-LIBERTY GR SCH
304,94,3,ALLEGHENY,CHARTIERS VALLEY MS
252,1076,3,BUCKS,CARL SANDBURG MS
1702,3342,3,MONTGOMERY,RUPERT EL SCH
254,326,3,ALLEGHENY,CARMALT ACADEMY OF SCI & TECH
1705,7677,3,PHILADELPHIA,RUSSELL BYERS CS
299,5149,3,LACKAWANNA,CHARLES SUMNER NO18
1707,1811,3,DAUPHIN,RUTHERFORD EL SCH
295,4339,3,WESTMORELAND,CHARLES A HUSTON MS
1710,7278,3,CRAWFORD,SAEGERTOWN EL SCH
294,7157,3,WASHINGTON,CHARLEROI AREA MS
1716,5365,3,LEHIGH,SALISBURY MIDDLE SCHOOL
292,2190,3,FRANKLIN,CHAMBERSBURG AREA MS - NORTH
291,6615,3,FRANKLIN,CHAMBERSBURG AREA MS
1791,1729,3,CUMBERLAND,SHIPPENSBURG AREA MS
257,3594,3,PERRY,CARROLL EL SCH
1721,2353,3,INDIANA,SALTSBURG MIDDLE/HIGH
1789,8181,3,NORTHUMBERLAND,SHIKELLAMY MS
1723,4101,3,VENANGO,SANDYCREEK EL SCH
290,1812,3,DAUPHIN,CHAMBERS HILL EL
287,7552,3,CENTRE,CENTRE LEARNING COMM CS
260,7023,3,PHILADELPHIA,CARVER HS ENGINEERING & SCIENCE
261,3173,3,MERCER,CASE AVENUE EL SCH
233,6939,3,WASHINGTON,CALIFORNIA AREA MS
1629,6242,3,CLINTON,RENOVO EL SCH
232,8051,3,WASHINGTON,CALIFORNIA AREA INTERMEDIATE M
1534,6785,3,NORTHAMPTON,PHILIP F LAUER MS
1873,4622,3,YORK,SPRING GROVE AREA IN
1537,1779,3,DAUPHIN,PHILLIPS EL SCH
215,2097,3,FAYETTE,BULLSKIN EL SCH
391,5203,3,BERKS,CONRAD WEISER WEST ELEM
1542,5262,3,SCHUYLKILL,PINE GROVE AREA MS
1543,3909,3,SCHUYLKILL,PINE GROVE EL SCH
390,7651,3,BERKS,CONRAD WEISER MIDDLE SCHOOL
386,2103,3,FAYETTE,CONNELLSVILLE TWP EL
1869,2312,3,HUNTINGDON,SPRING FARMS EL SCH
1868,5130,3,BLAIR,SPRING COVE MS
384,2021,3,ERIE,CONNELL EL SCH
383,8226,3,CRAWFORD,CONNEAUT VALLEY MS
218,7477,3,WASHINGTON,BURGETTSTOWN AREA EL CN
219,4195,3,WASHINGTON,BURGETTSTOWN MIDDLE/HIGH SCHOOL
220,2598,3,LANCASTER,BURROWES SCH
1861,7525,3,HUNTINGDON,SOUTHSIDE EL
1558,6385,3,LUZERNE,PITTSTON AREA MS
1559,6622,3,LUZERNE,PITTSTON CITY INTRMD CTR
221,8054,3,NORTHAMPTON,BUSHKILL EL SCH
222,6690,3,BUTLER,BUTLER AREA IHS
1533,7647,3,PHILADELPHIA,PHILADELPHIA PERF ARTS CS
1564,4255,3,WASHINGTON,PLEASANT VALLEY EL SCH
399,6944,3,ALLEGHENY,CORNELL EL SCH
404,1997,3,ERIE,CORRY AREA INTERMEDIATE SCH
1499,1418,3,CHESTER,PENN'S GROVE SCH
1500,6990,3,CAMBRIA,PENN-CAMBRIA MS
199,2362,3,JEFFERSON,BROCKWAY JSHS
417,7395,3,YORK,CROSSROADS MS
1503,7785,3,CARBON,PENN/KIDDER CAMPUS
416,3762,3,PHILADELPHIA,CROSSAN KENNEDY C SCH
1505,3324,3,MONTGOMERY,PENNDALE MS
1892,7620,3,HUNTINGDON,STANDINGSTONE EL
1891,2226,3,FRANKLIN,ST THOMAS EL SCH
1890,1992,3,ELK,ST MARYS AREA MS
1889,8219,3,BRADFORD,SRU EL SCH
1510,7028,3,INDIANA,PENNS MANOR AREA EL
1511,2345,3,INDIANA,PENNS MANOR AREA JSH
201,7868,3,ALLEGHENY,BROOKLINE EL SCH
1513,6231,3,CENTRE,PENNS VALLEY AREA JSHS
202,6162,3,JEFFERSON,BROOKVILLE JSHS
1259,6699,3,SCHUYLKILL,MINERSVILLE AREA EL
1521,6300,3,LANCASTER,PEQUEA VALLEY INTRMD
1881,29,3,ALLEGHENY,SPRINGDALE JSHS
1524,2018,3,ERIE,PERRY EL SCH
406,3868,3,POTTER,COUDERSPORT AREA EL
209,2192,3,FRANKLIN,BUCHANAN EL SCH
198,5148,3,JEFFERSON,BROCKWAY AREA ELEMENTARY SCHOOL
224,8343,3,BUTLER,BUTLER MS
1567,7183,3,MONROE,PLEASANT VALLEY MS
356,762,3,BERKS,COLEBROOKDALE EL SCH
1847,4819,3,FAYETTE,SOUTH SIDE EL SCH
1600,6508,3,DELAWARE,PROSPECT PARK SCH
1601,2654,3,LANCASTER,PROVIDENCE EL SCH
352,1632,3,CRAWFORD,COCHRANTON AREA JSHS
1605,2350,3,INDIANA,PURCHASE LINE JSHS
1606,6893,3,INDIANA,PURCHASE LINE SOUTH
351,5037,3,CRAWFORD,COCHRANTON AREA EL SCH
1610,2655,3,LANCASTER,QUARRYVILLE EL SCH
350,3057,3,LYCOMING,COCHRAN EL SCH
349,6289,3,LANCASTER,COCALICO MS
348,5047,3,FAYETTE,CLIFFORD N PRITTS EL
1614,1370,3,CHESTER,RAINBOW EL SCH
1615,4457,3,WESTMORELAND,RAMSAY EL SCH
1841,1099,3,BUCKS,SOUTH MIDDLE SCHOOL
229,6594,3,SOMERSET,CAIRNBROOK EL SCH
1620,4597,3,YORK,RED LION AREA JHS
1622,1495,3,CLARION,REDBANK VALLEY HS
1623,8168,3,CLARION,REDBANK VALLEY INTRMD SCH
344,6837,3,YORK,CLEARVIEW EL SCH
343,6236,3,CLEARFIELD,CLEARFIELD AREA JSHS
1597,7832,3,ALLEGHENY,PROPEL CS - MONTOUR
1566,7660,3,MONROE,PLEASANT VALLEY INTRM
1596,7831,3,ALLEGHENY,PROPEL CS - MCKEESPORT
358,24,3,ALLEGHENY,COLFAX UPPER EL SCH
1854,7391,3,FULTON,SOUTHERN FULTON EL SCH
374,5136,3,CAMBRIA,CONEMAUGH VALLEY JSH
1571,8010,3,MONROE,POCONO MT EAST JHS
373,5213,3,CAMBRIA,CONEMAUGH VALLEY EL
372,3978,3,SOMERSET,CONEMAUGH TWP AREA J
370,330,3,ALLEGHENY,CONCORD EL SCH
368,7450,3,MERCER,COMMODORE PERRY SCH
1576,1077,3,BUCKS,POQUESSING MS
1577,7055,3,MCKEAN,PORT ALLEGANY EL SCH
1578,3111,3,MCKEAN,PORT ALLEGANY JSHS
1852,7668,3,COLUMBIA,SOUTHERN COLUMBIA MS
1581,1270,3,CAMBRIA,PORTAGE AREA HS
367,6122,3,MERCER,COMMODORE PERRY JSHS
1583,6746,3,MONTGOMERY,POTTSGROVE MS
1585,3783,3,PHILADELPHIA,POWEL SAMUEL SCH
365,3760,3,PHILADELPHIA,COMLY WATSON SCH
1851,2746,3,LEBANON,SOUTHEAST EL SCH
1850,3056,3,LYCOMING,SOUTH WILLIAMSPORT AREA JSHS
1590,7359,3,DELAWARE,PRIMOS EL SCH
359,7628,3,CHESTER,COLLEGIUM CS
1593,7848,3,ALLEGHENY,PROPEL CS - EAST
1848,6937,3,BEAVER,SOUTH SIDE MS
540,5043,3,DELAWARE,EDDYSTONE EL SCH
1766,8283,3,NORTHUMBERLAND,SHAMOKIN AREA INTERMEDIATE SCH
683,6026,3,ALLEGHENY,FULTON ACADEMY OF SCIENCE
910,6126,3,MERCER,JAMESTOWN AREA JSHS
2119,8353,3,GREENE,WEST GREENE EL CTR
667,7176,3,FAYETTE,FRAZIER MS
2118,6161,3,FOREST,WEST FOREST JSHS
1064,6783,3,DAUPHIN,LINGLESTOWN MS
909,6127,3,MERCER,JAMESTOWN AREA EL SCH
2192,5351,3,NORTHAMPTON,WIND GAP MS
1060,8286,3,NORTHUMBERLAND,LINE MOUNTAIN MS
666,6686,3,FAYETTE,FRAZIER EL SCH
2195,1330,3,CENTRE,WINGATE EL SCH
1067,1847,3,DELAWARE,LINWOOD EL SCH
2116,2379,3,JEFFERSON,WEST END EL SCH
904,6281,3,FRANKLIN,JAMES BUCHANAN MS
903,3442,3,NORTHAMPTON,JAMES BUCHANAN EL SCH
26,7467,3,CLARION,ALLEGHENY-CLARION VAL ELEM
663,8123,3,PHILADELPHIA,FRANKLIN TOWNE CHARTER EL SCH
2117,6701,3,FOREST,WEST FOREST EL SCH
62,8214,3,LEHIGH,ARTS ACADEMY CS
759,4512,3,WESTMORELAND,H W GOOD EL SCH
913,8024,3,WESTMORELAND,JEANNETTE MCKEE ELEM
55,8342,3,ARMSTRONG,ARMSTRONG JSHS
1256,5353,3,NORTHUMBERLAND,MILTON AREA EL SCH
1041,8184,3,MIFFLIN,LEWISTOWN INTRMD SCH
2131,535,3,ALLEGHENY,WEST MIFFLIN AREA MS
2130,6129,3,MERCER,WEST MIDDLESEX AREA HS
1044,4062,3,TIOGA,LIBERTY EL SCH
917,2280,3,GREENE,JEFFERSON-MORGAN JSH
2128,7694,3,ALLEGHENY,WEST LIBERTY ELEM SCH
916,7029,3,GREENE,JEFFERSON-MORGAN EL
2126,7896,3,ARMSTRONG,WEST HILLS INTERMEDIATE SCH
674,8356,3,BEAVER,FREEDOM AREA MS
673,8357,3,BEAVER,FREEDOM AREA EL SCH
1051,3443,3,NORTHAMPTON,LINCOLN EL SCH
915,2808,3,LEHIGH,JEFFERSON EL SCH
1053,2675,3,LAWRENCE,LINCOLN JSHS
914,8025,3,WESTMORELAND,JEANNETTE MCKEE MS
2124,7270,3,WESTMORELAND,WEST HEMPFIELD MS
25,4664,3,CLARION,ALLEGHENY-CLARION VA
1036,2522,3,LANCASTER,LEOLA EL SCH
2199,7626,3,CENTRE,WONDERLAND CS
768,7447,3,BERKS,HAMBURG AREA MS
650,3765,3,PHILADELPHIA,FOX CHASE SCH
23,7615,3,ALLEGHENY,ALLEGHENY TRAD ELEM ACAD
2101,4556,3,YORK,WEIGELSTOWN EL SCH
1096,2225,3,FRANKLIN,LURGAN EL SCH
1099,6861,3,LYCOMING,LYCOMING VALLEY MS
1100,4918,3,BRADFORD,LYNCH EL SCH
2099,6838,3,CARBON,WEATHERLY AREA MS
652,2474,3,LACKAWANNA,FRANCES WILLARD NO 32
2097,7476,3,GREENE,WAYNESBURG CENTRAL EL
2096,5331,3,FRANKLIN,WAYNESBORO AREA MS
2204,1932,3,DELAWARE,WOODLYN EL SCH
782,4570,3,YORK,HANOVER MS
878,8183,3,MIFFLIN,INDIAN VALLEY INTRMD SCH
877,8182,3,MIFFLIN,INDIAN VALLEY EL SCH
75,7721,3,CHESTER,AVON GROVE CS
783,4566,3,YORK,HANOVER STREET EL SCH
1104,7223,3,SCHUYLKILL,MAHANOY AREA EL SCH
1092,3037,3,LYCOMING,LOYALSOCK TWP MS
72,4165,3,WASHINGTON,AVELLA AREA JSHS
71,30,3,ALLEGHENY,AVALON EL SCH
1073,4961,3,PHILADELPHIA,LOESCHE WILLIAM H SCH
1074,7274,3,BUCKS,LOG COLLEGE MS
662,6007,3,FAYETTE,FRANKLIN SCH
896,7366,3,MONROE,J T LAMBERT INTERMED
2111,6599,3,CLEARFIELD,WEST BRANCH AREA EL
658,6984,3,VENANGO,FRANKLIN AREA MS
1080,8079,3,JEFFERSON,LONGVIEW EL SCH
771,6274,3,FRANKLIN,HAMILTON HEIGHTS EL
2109,6895,3,ALLEGHENY,WEST ALLEGHENY MS
775,3318,3,MONTGOMERY,HANCOCK EL SCH
2201,8091,3,ALLEGHENY,WOODLAND HILLS ACAD
890,4817,3,ERIE,IROQUOIS JSHS
889,2052,3,ERIE,IROQUOIS ELEM SCHOOL
70,6222,3,POTTER,AUSTIN AREA JSHS
1087,7559,3,LEHIGH,LOWER MACUNGIE MS
2104,4580,3,YORK,WELLSVILLE CAMPUS
776,5041,3,PHILADELPHIA,HANCOCK JOHN SCH
767,2626,3,LANCASTER,HAMBRIGHT EL SCH
2091,6654,3,ERIE,WATTSBURG AREA MS
1035,1793,3,DAUPHIN,LENKERVILLE EL SCH
688,6223,3,POTTER,GALETON AREA SCH
40,7024,3,PHILADELPHIA,AMY NW
2162,5241,3,LEHIGH,WHITEHALL-COPLAY MS
941,5230,3,HUNTINGDON,JUNIATA VALLEY EL SCH
975,7271,3,BUCKS,KLINGER MS
747,4372,3,WESTMORELAND,GREENSBURG-SALEM MS
43,8178,3,LEBANON,ANNVILLE CLEONA MS
2176,3914,3,SCHUYLKILL,WILLIAMS VALLEY JSHS
942,2308,3,HUNTINGDON,JUNIATA VALLEY JSHS
938,6157,3,CLEARFIELD,JUNIATA EL SCH
983,6315,3,BERKS,KUTZTOWN AREA MS
984,6316,3,BERKS,KUTZTOWN EL SCH
985,6965,3,CARBON,L B MORRIS EL SCH
726,801,3,BERKS,GOVERNOR MIFFLIN MS
2177,950,3,BLAIR,WILLIAMSBURG COMM EL
717,3256,3,MONTGOMERY,GLENSIDE EL SCH
716,1881,3,DELAWARE,GLENOLDEN SCH
727,3449,3,NORTHAMPTON,GOVERNOR WOLF EL SCH
729,6357,3,NORTHUMBERLAND,GRACE S BECK SCH
969,7189,3,WESTMORELAND,KISKI AREA IHS
943,5244,3,MCKEAN,KANE AREA EL SCH
33,7986,3,BLAIR,ALTOONA AREA JR HS
2175,7357,3,SCHUYLKILL,WILLIAMS VALLEY EL SCH
746,6028,3,ALLEGHENY,GREENFIELD EL SCH
956,7979,3,PHILADELPHIA,KEYSTONE ACADEMY CHARTER SCHOOL
38,1925,3,DELAWARE,AMOSLAND EL SCH
945,1154,3,BUTLER,KARNS CITY HS
944,3100,3,MCKEAN,KANE AREA MS
958,6694,3,CLARION,KEYSTONE EL SCH
959,1486,3,CLARION,KEYSTONE JSHS
960,7462,3,ALLEGHENY,KEYSTONE OAKS MS
962,5056,3,LANCASTER,KING EL SCH
732,191,3,ALLEGHENY,GRANDVIEW UPPER EL SCH
964,1375,3,CHESTER,KINGS HIGHWAY EL SCH
2166,2591,3,LANCASTER,WICKERSHAM EL SCH
730,2208,3,FRANKLIN,GRANDVIEW EL SCH
967,3647,3,PHILADELPHIA,KIRKBRIDE ELIZA B SCH
2165,7885,3,ALLEGHENY,WHITTIER EL SCH
714,6952,3,CLEARFIELD,GLENDALE EL SCH
29,1741,3,YORK,ALLEN MS
