,School Number,Cluster,County,School
162,4070,3,TIOGA,BLOSSBURG EL SCH
1275,4044,3,SUSQUEHANNA,MONTROSE AREA JSHS
167,5263,3,SCHUYLKILL,BLUE MOUNTAIN MS
1432,1414,3,CHESTER,OCTORARA AREA JSHS
1433,8004,3,CHESTER,OCTORARA INTERMEDIATE SCH
1405,5143,3,DELAWARE,NORTHLEY MS
1274,3040,3,LYCOMING,MONTGOMERY JSHS
456,4351,3,WESTMORELAND,DERRY AREA MS
2018,7289,3,ERIE,UNION CITY MS
1929,4030,3,SULLIVAN,SULLIVAN CO JSHS
1437,2448,3,LACKAWANNA,OLD FORGE EL SCH
2019,1501,3,CLARION,UNION HS
2012,7518,3,BLAIR,TYRONE AREA MS
2015,7083,3,LAWRENCE,UNION AREA MS
1408,2955,3,LUZERNE,NORTHWEST AREA INTERMEDIATE SCH
1407,2958,3,LUZERNE,NORTHWEST AREA HS
1936,6885,3,SUSQUEHANNA,SUSQUEHANNA COMM EL
161,1611,3,COLUMBIA,BLOOMSBURG AREA MS
1409,2956,3,LUZERNE,NORTHWEST AREA PRIMARY SCHOOL
1937,4054,3,SUSQUEHANNA,SUSQUEHANNA COMM JS
1421,6623,3,CHESTER,NOTTINGHAM SCH
1271,7800,3,ERIE,MONTESSORI REGIONAL CS
1945,8281,3,MONROE,SWIFTWATER INTERM SCH
1420,1883,3,DELAWARE,NORWOOD SCH
1938,1805,3,DAUPHIN,SUSQUEHANNA TWP MS
1943,5054,3,LANCASTER,SWIFT MS
120,6977,3,ALLEGHENY,BELLEVUE EL SCH
1417,7856,3,PHILADELPHIA,NORTHWOOD ACADEMY CS
1940,7367,3,PERRY,SUSQUENITA MS
121,7144,3,BLAIR,BELLWOOD ANTIS MS
1438,2449,3,LACKAWANNA,OLD FORGE JSHS
1308,5205,3,BERKS,MT PENN EL SCH
1440,6319,3,BERKS,OLEY VALLEY MS
1264,2686,3,LAWRENCE,MOHAWK JSHS
1469,7056,3,LANCASTER,PARK EL SCH
1472,4606,3,YORK,PARK HILLS EL SCH
436,3424,3,MONTOUR,DANVILLE AREA MS
434,7544,3,BERKS,DANIEL BOONE AREA MS
433,2878,3,LUZERNE,DANA EL CTR
1480,1795,3,DAUPHIN,PAXTANG EL SCH
1466,8349,3,CARBON,PANTHER VALLEY INTERMEDIATE SCH
184,6309,3,BERKS,BRANDYWINE HEIGHTS MIDDLE SCHO
191,7342,3,ALLEGHENY,BRENTWOOD MS
426,7226,3,PHILADELPHIA,D NEWLIN FELL SCHOOL
194,6468,3,MONTGOMERY,BRIDGEPORT EL SCH
1490,8160,3,ALLEGHENY,PENN HILLS CS FOR ENTREPRENEUR
425,2116,3,FAYETTE,D FERD SWANEY EL SCH
117,8269,3,WESTMORELAND,BELLE VERNON AREA MS
1260,6583,3,SCHUYLKILL,MINERSVILLE AREA JSH
2024,2358,3,INDIANA,UNITED JSHS
1465,1322,3,CARBON,PANTHER VALLEY EL SCH
1914,8158,3,HUNTINGDON,STONE VALLEY COMMUNITY CS
118,1342,3,CENTRE,BELLEFONTE AREA MS
454,4599,3,YORK,DELTA-PEACH BOTTOM E
1443,1604,3,COLUMBIA,ORANGE STREET EL SCH
452,3865,3,PIKE,DELAWARE VALLEY MS
1926,7396,3,BUTLER,SUGARCREEK EL SCH
169,6891,3,SUSQUEHANNA,BLUE RIDGE EL SCH
1923,7839,3,MONROE,STROUDSBURG MIDDLE SCHOOL
1948,8126,3,PHILADELPHIA,TACONY ACADEMY CHARTER SCHOOL
1922,7593,3,MONROE,STROUDSBURG JUNIOR HIGH
1450,7753,3,POTTER,OSWAYO VALLEY MS
1269,2391,3,JUNIATA,MONROE TWP EL SCH
447,7595,3,ALLEGHENY,DEER LAKES MS
446,4727,3,PHILADELPHIA,DECATUR STEPHEN SCH
1921,3196,3,MIFFLIN,STRODES MILLS EL SCH
1267,1164,3,BUTLER,MONITEAU JSHS
1916,5088,3,YORK,STONY BROOK EL SCH
1461,7172,3,CARBON,PALMER EL SCH
440,6579,3,ARMSTRONG,DAVID LEECH EL SCH
1928,8180,3,SULLIVAN,SULLIVAN CO EL SCH
1282,1169,3,BUTLER,MORAINE EL SCH
1951,7662,3,SCHUYLKILL,TAMAQUA AREA MS
1402,6931,3,POTTER,NORTHERN POTTER CHIL
1331,5232,3,LACKAWANNA,NEIL ARMSTRONG NO 40
139,6921,3,ADAMS,BERMUDIAN SPRINGS MS
140,6808,3,COLUMBIA,BERWICK AREA MS
1340,8276,3,YORK,NEW CUMBERLAND MS
1344,7649,3,PHILADELPHIA,NEW FOUNDATIONS CS
127,19,3,ADAMS,BENDERSVILLE EL SCH
1345,8324,3,FRANKLIN,NEW FRANKLIN EL SCH
1973,7601,3,VENANGO,TITUSVILLE MS
519,4956,3,NORTHAMPTON,EAST HILLS MS
