,School Number,Cluster,County,School
948,3626,2,PHILADELPHIA,KELLEY WILLIAM D SCH
946,3645,2,PHILADELPHIA,KEARNY GEN PHILIP SCH
950,5294,2,PHILADELPHIA,KELLY JOHN B SCH
1422,7665,2,PHILADELPHIA,NUEVA ESPERANZA ACAD CS
1411,856,2,BERKS,NORTHWEST MS
1410,6894,2,LEBANON,NORTHWEST EL SCH
1507,3722,2,PHILADELPHIA,PENNELL JOSEPH SCH
2042,7562,2,ALLEGHENY,URBAN PATHWAYS 6-12 CHARTER SCH
1518,3616,2,PHILADELPHIA,PENROSE ELEM SCH
2231,8289,2,PHILADELPHIA,YOUNG SCHOLARS KENDERTON CS
928,8149,2,PHILADELPHIA,JOHN B STETSON CHARTER SCHOOL
1287,6535,2,PHILADELPHIA,MORTON THOMAS G SCH
1286,365,2,ALLEGHENY,MORROW EL SCH
819,5187,2,PHILADELPHIA,HESTON EDWARD ELEMENTARY
2233,8337,2,ALLEGHENY,YOUNG SCHOLARS OF MCKEESPORT CS
1519,7685,2,PHILADELPHIA,PEOPLE FOR PEOPLE CS
957,7506,2,MERCER,KEYSTONE ED CTR CS
961,7826,2,PHILADELPHIA,KHEPERA CS
1284,3749,2,PHILADELPHIA,MORRISON ANDREW J SCH
2030,8196,2,PHILADELPHIA,UNIVERSAL VARE CS
1283,4868,2,PHILADELPHIA,MORRIS ROBERT SCH
1517,6539,2,PHILADELPHIA,PENNYPACKER SAMUEL SCH
2058,8338,2,DELAWARE,VISION ACADEMY CHARTER SCHOOL
2169,554,2,ALLEGHENY,WILKINSBURG MS
1497,7918,2,DELAWARE,PENN WOOD MS
870,7579,2,PHILADELPHIA,IMANI EDUCATION CIRCLE CS
865,3693,2,PHILADELPHIA,HUNTER WILLIAM EL
863,3807,2,PHILADELPHIA,HUEY SAMUEL B SCH
1350,7829,2,PHILADELPHIA,NEW MEDIA TECHNOLOGY CS
1458,7821,2,ALLEGHENY,PA DISTANCE LEARNING CS
862,3743,2,PHILADELPHIA,HOWE JULIA WARD SCH
1442,3750,2,PHILADELPHIA,OLNEY EL SCH
1473,7020,2,DELAWARE,PARK LANE EL SCH
1341,7762,2,HUNTINGDON,NEW DAY CHARTER SCHOOL
1477,3613,2,PHILADELPHIA,PATTERSON JOHN M SCH
