,ZipCode,Lat,Long
174,15430.0,40.02,-79.66
175,15431.0,39.97,-79.61
176,15432.0,40.11,-79.85
177,15433.0,39.98,-79.96
178,15434.0,40.08,-79.88
179,15435.0,39.98,-79.83
180,15436.0,39.82,-79.75
181,15437.0,39.78,-79.61
182,15438.0,40.1,-79.83
183,15439.0,39.74,-79.81
184,15440.0,39.73,-79.56
185,15442.0,40.01,-79.83
186,15443.0,39.91,-79.87
187,15444.0,40.0,-79.9
188,15445.0,39.87,-79.7
189,15446.0,40.01,-79.39
190,15447.0,39.95,-79.93
191,15448.0,40.19,-79.73
192,15449.0,39.94,-79.77
193,15450.0,39.96,-79.94
194,15451.0,39.74,-79.84
195,15454.0,39.86,-79.87
196,15455.0,40.0,-79.61
197,15456.0,39.92,-79.64
198,15458.0,39.88,-79.86
199,15459.0,39.73,-79.45
200,15460.0,39.8,-79.89
201,15461.0,39.84,-79.9
202,15462.0,40.06,-79.36
203,15463.0,39.96,-79.86
204,15464.0,39.96,-79.45
205,15465.0,39.94,-79.67
206,15466.0,40.07,-79.88
207,15467.0,39.78,-79.89
208,15468.0,39.9,-76.79
209,15469.0,40.02,-79.4
210,15470.0,39.86,-79.49
211,15472.0,39.91,-79.72
212,15473.0,40.08,-79.75
213,15474.0,39.73,-79.9
214,15475.0,39.96,-79.87
215,15476.0,39.86,-79.9
216,15477.0,40.07,-79.86
217,15478.0,39.8,-79.8
218,15479.0,40.15,-79.74
219,15480.0,39.99,-79.75
220,15482.0,40.1,-79.74
221,15483.0,40.08,-79.85
222,15484.0,39.87,-79.7
223,15485.0,39.81,-79.33
224,15486.0,40.03,-79.66
225,15488.0,39.98,-79.77
226,15489.0,39.96,-79.71
227,15490.0,40.07,-79.42
228,15492.0,40.11,-79.75
229,15501.0,40.0,-79.07
230,15502.0,40.04,-79.11
231,15520.0,40.1,-79.04
232,15521.0,40.19,-78.62
233,15522.0,40.01,-78.5
234,15530.0,39.92,-78.95
235,15531.0,40.16,-79.02
236,15532.0,39.78,-79.01
237,15533.0,39.99,-78.24
238,15534.0,39.92,-78.63
239,15535.0,39.91,-78.37
240,15536.0,39.93,-78.21
241,15537.0,40.01,-78.36
242,15538.0,39.89,-78.83
243,15539.0,40.12,-78.58
244,15540.0,39.86,-79.24
245,15541.0,40.04,-79.0
246,15542.0,39.86,-79.06
247,15544.0,40.19,-79.04
248,15545.0,39.82,-78.72
249,15546.0,40.14,-79.08
250,15547.0,40.16,-79.06
251,15548.0,40.11,-78.96
252,15549.0,40.04,-79.12
253,15550.0,40.0,-78.59
254,15551.0,39.87,-79.29
255,15552.0,39.81,-79.02
256,15553.0,39.98,-78.77
257,15554.0,40.1,-78.64
258,15555.0,40.04,-79.12
259,15557.0,39.91,-79.15
260,15558.0,39.75,-79.08
261,15559.0,40.04,-78.64
262,15560.0,40.01,-78.9
263,15561.0,40.04,-79.12
264,15562.0,39.74,-79.09
265,15563.0,40.1,-78.95
266,15564.0,39.72,-78.84
267,15565.0,39.78,-79.01
268,15601.0,40.31,-79.54
269,15610.0,40.09,-79.48
270,15611.0,40.31,-79.65
271,15612.0,40.12,-79.56
